country,nuts_3,cases,datetime
CZ,Hlavní město Praha,135,2020-03-21T17:55:00
CZ,Liberecký kraj,9,2020-03-22T09:01:00
CZ,Kraj Vysočina,9,2020-03-22T09:01:00
CZ,Královéhradecký kraj,15,2020-03-22T09:01:00
CZ,Plzeňský kraj,17,2020-03-22T09:01:00
CZ,Pardubický kraj,24,2020-03-22T09:01:00
CZ,Jihočeský kraj,30,2020-03-22T09:01:00
CZ,Karlovarský kraj,38,2020-03-22T09:01:00
CZ,Ústecký kraj,38,2020-03-22T09:01:00
CZ,Zlínský kraj,53,2020-03-22T09:01:00
CZ,Jihomoravský kraj,71,2020-03-22T09:01:00
CZ,Olomoucký kraj,72,2020-03-22T09:01:00
CZ,Moravskoslezský kraj,79,2020-03-22T09:01:00
CZ,Středočeský kraj,118,2020-03-22T09:01:00
CZ,Hlavní město Praha,143,2020-03-22T09:01:00
CZ,Liberecký kraj,11,2020-03-22T17:45:00
CZ,Kraj Vysočina,14,2020-03-22T17:45:00
CZ,Královéhradecký kraj,17,2020-03-22T17:45:00
CZ,Plzeňský kraj,18,2020-03-22T17:45:00
CZ,Pardubický kraj,28,2020-03-22T17:45:00
CZ,Jihočeský kraj,30,2020-03-22T17:45:00
CZ,Ústecký kraj,39,2020-03-22T17:45:00
CZ,Karlovarský kraj,40,2020-03-22T17:45:00
CZ,Zlínský kraj,57,2020-03-22T17:45:00
CZ,Jihomoravský kraj,76,2020-03-22T17:45:00
CZ,Olomoucký kraj,81,2020-03-22T17:45:00
CZ,Moravskoslezský kraj,81,2020-03-22T17:45:00
CZ,Středočeský kraj,122,2020-03-22T17:45:00
CZ,Hlavní město Praha,150,2020-03-22T17:45:00
CZ,Liberecký kraj,12,2020-03-23T08:47:00
CZ,Královéhradecký kraj,18,2020-03-23T08:47:00
CZ,Kraj Vysočina,19,2020-03-23T08:47:00
CZ,Plzeňský kraj,21,2020-03-23T08:47:00
CZ,Pardubický kraj,28,2020-03-23T08:47:00
CZ,Jihočeský kraj,30,2020-03-23T08:47:00
CZ,Karlovarský kraj,40,2020-03-23T08:47:00
CZ,Ústecký kraj,40,2020-03-23T08:47:00
CZ,Zlínský kraj,57,2020-03-23T08:47:00
CZ,Jihomoravský kraj,77,2020-03-23T08:47:00
CZ,Moravskoslezský kraj,81,2020-03-23T08:47:00
CZ,Olomoucký kraj,85,2020-03-23T08:47:00
CZ,Středočeský kraj,122,2020-03-23T08:47:00
CZ,Hlavní město Praha,172,2020-03-23T08:47:00
CZ,Liberecký kraj,13,2020-03-23T17:45:00
CZ,Královéhradecký kraj,18,2020-03-23T17:45:00
CZ,Plzeňský kraj,20,2020-03-23T17:45:00
CZ,Kraj Vysočina,23,2020-03-23T17:45:00
CZ,Jihočeský kraj,30,2020-03-23T17:45:00
CZ,Pardubický kraj,31,2020-03-23T17:45:00
CZ,Karlovarský kraj,42,2020-03-23T17:45:00
CZ,Ústecký kraj,43,2020-03-23T17:45:00
CZ,Zlínský kraj,60,2020-03-23T17:45:00
CZ,Jihomoravský kraj,86,2020-03-23T17:45:00
CZ,Olomoucký kraj,98,2020-03-23T17:45:00
CZ,Moravskoslezský kraj,115,2020-03-23T17:45:00
CZ,Středočeský kraj,159,2020-03-23T17:45:00
CZ,Hlavní město Praha,198,2020-03-23T17:45:00
CZ,Liberecký kraj,13,2020-03-24T08:45:00
CZ,Královéhradecký kraj,18,2020-03-24T08:45:00
CZ,Plzeňský kraj,22,2020-03-24T08:45:00
CZ,Kraj Vysočina,23,2020-03-24T08:45:00
CZ,Jihočeský kraj,32,2020-03-24T08:45:00
CZ,Pardubický kraj,33,2020-03-24T08:45:00
CZ,Karlovarský kraj,42,2020-03-24T08:45:00
CZ,Ústecký kraj,46,2020-03-24T08:45:00
CZ,Zlínský kraj,67,2020-03-24T08:45:00
CZ,Jihomoravský kraj,86,2020-03-24T08:45:00
CZ,Olomoucký kraj,100,2020-03-24T08:45:00
CZ,Moravskoslezský kraj,115,2020-03-24T08:45:00
CZ,Středočeský kraj,160,2020-03-24T08:45:00
CZ,Hlavní město Praha,201,2020-03-24T08:45:00
CZ,Liberecký kraj,17,2020-03-24T17:46:00
CZ,Plzeňský kraj,22,2020-03-24T17:46:00
CZ,Královéhradecký kraj,22,2020-03-24T17:46:00
CZ,Kraj Vysočina,24,2020-03-24T17:46:00
CZ,Jihočeský kraj,34,2020-03-24T17:46:00
CZ,Pardubický kraj,40,2020-03-24T17:46:00
CZ,Karlovarský kraj,48,2020-03-24T17:46:00
CZ,Ústecký kraj,50,2020-03-24T17:46:00
CZ,Zlínský kraj,72,2020-03-24T17:46:00
CZ,Jihomoravský kraj,92,2020-03-24T17:46:00
CZ,Olomoucký kraj,118,2020-03-24T17:46:00
CZ,Moravskoslezský kraj,134,2020-03-24T17:46:00
CZ,Středočeský kraj,184,2020-03-24T17:46:00
CZ,Hlavní město Praha,233,2020-03-24T17:46:00
CZ,Liberecký kraj,18,2020-03-25T08:47:00
CZ,Plzeňský kraj,23,2020-03-25T08:47:00
CZ,Kraj Vysočina,26,2020-03-25T08:47:00
CZ,Královéhradecký kraj,30,2020-03-25T08:47:00
CZ,Jihočeský kraj,35,2020-03-25T08:47:00
CZ,Pardubický kraj,41,2020-03-25T08:47:00
CZ,Karlovarský kraj,48,2020-03-25T08:47:00
CZ,Ústecký kraj,51,2020-03-25T08:47:00
CZ,Zlínský kraj,75,2020-03-25T08:47:00
CZ,Jihomoravský kraj,92,2020-03-25T08:47:00
CZ,Olomoucký kraj,118,2020-03-25T08:47:00
CZ,Moravskoslezský kraj,138,2020-03-25T08:47:00
CZ,Středočeský kraj,185,2020-03-25T08:47:00
CZ,Hlavní město Praha,234,2020-03-25T08:47:00
CZ,Liberecký kraj,21,2020-03-25T17:46:00
CZ,Kraj Vysočina,29,2020-03-25T17:46:00
CZ,Plzeňský kraj,31,2020-03-25T17:46:00
CZ,Královéhradecký kraj,31,2020-03-25T17:46:00
CZ,Pardubický kraj,46,2020-03-25T17:46:00
CZ,Jihočeský kraj,47,2020-03-25T17:46:00
CZ,Karlovarský kraj,56,2020-03-25T17:46:00
CZ,Ústecký kraj,58,2020-03-25T17:46:00
CZ,Zlínský kraj,79,2020-03-25T17:46:00
CZ,Jihomoravský kraj,103,2020-03-25T17:46:00
CZ,Olomoucký kraj,134,2020-03-25T17:46:00
CZ,Moravskoslezský kraj,168,2020-03-25T17:46:00
CZ,Středočeský kraj,201,2020-03-25T17:46:00
CZ,Hlavní město Praha,308,2020-03-25T17:46:00
CZ,Liberecký kraj,21,2020-03-26T08:46:00
CZ,Kraj Vysočina,29,2020-03-26T08:46:00
CZ,Plzeňský kraj,31,2020-03-26T08:46:00
CZ,Královéhradecký kraj,32,2020-03-26T08:46:00
CZ,Pardubický kraj,49,2020-03-26T08:46:00
CZ,Jihočeský kraj,55,2020-03-26T08:46:00
CZ,Karlovarský kraj,56,2020-03-26T08:46:00
CZ,Ústecký kraj,65,2020-03-26T08:46:00
CZ,Zlínský kraj,84,2020-03-26T08:46:00
CZ,Jihomoravský kraj,103,2020-03-26T08:46:00
CZ,Olomoucký kraj,137,2020-03-26T08:46:00
CZ,Moravskoslezský kraj,169,2020-03-26T08:46:00
CZ,Středočeský kraj,206,2020-03-26T08:46:00
CZ,Hlavní město Praha,313,2020-03-26T08:46:00
CZ,Plzeňský kraj,32,2020-03-26T17:51:00
CZ,Liberecký kraj,33,2020-03-26T17:51:00
CZ,Královéhradecký kraj,41,2020-03-26T17:51:00
CZ,Kraj Vysočina,41,2020-03-26T17:51:00
CZ,Pardubický kraj,54,2020-03-26T17:51:00
CZ,Jihočeský kraj,58,2020-03-26T17:51:00
CZ,Karlovarský kraj,66,2020-03-26T17:51:00
CZ,Ústecký kraj,67,2020-03-26T17:51:00
CZ,Zlínský kraj,92,2020-03-26T17:51:00
CZ,Jihomoravský kraj,113,2020-03-26T17:51:00
CZ,Olomoucký kraj,158,2020-03-26T17:51:00
CZ,Moravskoslezský kraj,192,2020-03-26T17:51:00
CZ,Středočeský kraj,224,2020-03-26T17:51:00
CZ,Hlavní město Praha,382,2020-03-26T17:51:00
CZ,Plzeňský kraj,32,2020-03-27T08:48:00
CZ,Liberecký kraj,35,2020-03-27T08:48:00
CZ,Kraj Vysočina,42,2020-03-27T08:48:00
CZ,Královéhradecký kraj,46,2020-03-27T08:48:00
CZ,Pardubický kraj,56,2020-03-27T08:48:00
CZ,Jihočeský kraj,63,2020-03-27T08:48:00
CZ,Karlovarský kraj,66,2020-03-27T08:48:00
CZ,Ústecký kraj,70,2020-03-27T08:48:00
CZ,Zlínský kraj,92,2020-03-27T08:48:00
CZ,Jihomoravský kraj,113,2020-03-27T08:48:00
CZ,Olomoucký kraj,171,2020-03-27T08:48:00
CZ,Moravskoslezský kraj,192,2020-03-27T08:48:00
CZ,Středočeský kraj,229,2020-03-27T08:48:00
CZ,Hlavní město Praha,414,2020-03-27T08:48:00
CZ,Liberecký kraj,46,2020-03-27T17:46:00
CZ,Kraj Vysočina,46,2020-03-27T17:46:00
CZ,Královéhradecký kraj,51,2020-03-27T17:46:00
CZ,Plzeňský kraj,56,2020-03-27T17:46:00
CZ,Pardubický kraj,58,2020-03-27T17:46:00
CZ,Jihočeský kraj,68,2020-03-27T17:46:00
CZ,Karlovarský kraj,68,2020-03-27T17:46:00
CZ,Ústecký kraj,84,2020-03-27T17:46:00
CZ,Zlínský kraj,100,2020-03-27T17:46:00
CZ,Jihomoravský kraj,133,2020-03-27T17:46:00
CZ,Olomoucký kraj,191,2020-03-27T17:46:00
CZ,Moravskoslezský kraj,219,2020-03-27T17:46:00
CZ,Středočeský kraj,255,2020-03-27T17:46:00
CZ,Hlavní město Praha,446,2020-03-27T17:46:00
CZ,Kraj Vysočina,46,2020-03-28T08:46:00
CZ,Liberecký kraj,49,2020-03-28T08:46:00
CZ,Královéhradecký kraj,52,2020-03-28T08:46:00
CZ,Plzeňský kraj,56,2020-03-28T08:46:00
CZ,Pardubický kraj,58,2020-03-28T08:46:00
CZ,Karlovarský kraj,68,2020-03-28T08:46:00
CZ,Jihočeský kraj,72,2020-03-28T08:46:00
CZ,Ústecký kraj,84,2020-03-28T08:46:00
CZ,Zlínský kraj,101,2020-03-28T08:46:00
CZ,Jihomoravský kraj,133,2020-03-28T08:46:00
CZ,Olomoucký kraj,197,2020-03-28T08:46:00
CZ,Moravskoslezský kraj,219,2020-03-28T08:46:00
CZ,Středočeský kraj,255,2020-03-28T08:46:00
CZ,Hlavní město Praha,457,2020-03-28T08:46:00
CZ,Liberecký kraj,69,2020-03-28T16:26:00
CZ,Pardubický kraj,72,2020-03-28T16:26:00
CZ,Královéhradecký kraj,79,2020-03-28T16:26:00
CZ,Nezjištěno,83,2020-03-28T16:26:00
CZ,Jihočeský kraj,84,2020-03-28T16:26:00
CZ,Karlovarský kraj,91,2020-03-28T16:26:00
CZ,Kraj Vysočina,100,2020-03-28T16:26:00
CZ,Ústecký kraj,102,2020-03-28T16:26:00
CZ,Zlínský kraj,111,2020-03-28T16:26:00
CZ,Plzeňský kraj,113,2020-03-28T16:26:00
CZ,Jihomoravský kraj,150,2020-03-28T16:26:00
CZ,Olomoucký kraj,242,2020-03-28T16:26:00
CZ,Moravskoslezský kraj,279,2020-03-28T16:26:00
CZ,Středočeský kraj,354,2020-03-28T16:26:00
CZ,Hlavní město Praha,740,2020-03-28T16:26:00
CZ,Liberecký kraj,70,2020-03-29T18:25:00
CZ,Pardubický kraj,74,2020-03-29T18:25:00
CZ,Královéhradecký kraj,80,2020-03-29T18:25:00
CZ,Jihočeský kraj,86,2020-03-29T18:25:00
CZ,Nezjištěno,86,2020-03-29T18:25:00
CZ,Karlovarský kraj,94,2020-03-29T18:25:00
CZ,Kraj Vysočina,101,2020-03-29T18:25:00
CZ,Ústecký kraj,108,2020-03-29T18:25:00
CZ,Plzeňský kraj,114,2020-03-29T18:25:00
CZ,Zlínský kraj,124,2020-03-29T18:25:00
CZ,Jihomoravský kraj,162,2020-03-29T18:25:00
CZ,Olomoucký kraj,245,2020-03-29T18:25:00
CZ,Moravskoslezský kraj,289,2020-03-29T18:25:00
CZ,Středočeský kraj,362,2020-03-29T18:25:00
CZ,Hlavní město Praha,748,2020-03-29T18:25:00
CZ,Liberecký kraj,70,2020-03-29T20:25:00
CZ,Pardubický kraj,75,2020-03-29T20:25:00
CZ,Královéhradecký kraj,80,2020-03-29T20:25:00
CZ,Jihočeský kraj,86,2020-03-29T20:25:00
CZ,Nezjištěno,93,2020-03-29T20:25:00
CZ,Karlovarský kraj,94,2020-03-29T20:25:00
CZ,Kraj Vysočina,101,2020-03-29T20:25:00
CZ,Ústecký kraj,111,2020-03-29T20:25:00
CZ,Plzeňský kraj,118,2020-03-29T20:25:00
CZ,Zlínský kraj,128,2020-03-29T20:25:00
CZ,Jihomoravský kraj,163,2020-03-29T20:25:00
CZ,Olomoucký kraj,255,2020-03-29T20:25:00
CZ,Moravskoslezský kraj,289,2020-03-29T20:25:00
CZ,Středočeský kraj,362,2020-03-29T20:25:00
CZ,Hlavní město Praha,750,2020-03-29T20:25:00
CZ,Liberecký kraj,70,2020-03-29T22:30:00
CZ,Pardubický kraj,75,2020-03-29T22:30:00
CZ,Jihočeský kraj,86,2020-03-29T22:30:00
CZ,Královéhradecký kraj,86,2020-03-29T22:30:00
CZ,Karlovarský kraj,94,2020-03-29T22:30:00
CZ,Nezjištěno,96,2020-03-29T22:30:00
CZ,Kraj Vysočina,102,2020-03-29T22:30:00
CZ,Ústecký kraj,111,2020-03-29T22:30:00
CZ,Plzeňský kraj,118,2020-03-29T22:30:00
CZ,Zlínský kraj,128,2020-03-29T22:30:00
CZ,Jihomoravský kraj,172,2020-03-29T22:30:00
CZ,Olomoucký kraj,262,2020-03-29T22:30:00
CZ,Moravskoslezský kraj,290,2020-03-29T22:30:00
CZ,Středočeský kraj,363,2020-03-29T22:30:00
CZ,Hlavní město Praha,752,2020-03-29T22:30:00
CZ,Liberecký kraj,70,2020-03-30T00:30:00
CZ,Pardubický kraj,75,2020-03-30T00:30:00
CZ,Jihočeský kraj,86,2020-03-30T00:30:00
CZ,Královéhradecký kraj,86,2020-03-30T00:30:00
CZ,Karlovarský kraj,94,2020-03-30T00:30:00
CZ,Kraj Vysočina,102,2020-03-30T00:30:00
CZ,Nezjištěno,108,2020-03-30T00:30:00
CZ,Ústecký kraj,111,2020-03-30T00:30:00
CZ,Plzeňský kraj,118,2020-03-30T00:30:00
CZ,Zlínský kraj,128,2020-03-30T00:30:00
CZ,Jihomoravský kraj,172,2020-03-30T00:30:00
CZ,Olomoucký kraj,262,2020-03-30T00:30:00
CZ,Moravskoslezský kraj,290,2020-03-30T00:30:00
CZ,Středočeský kraj,363,2020-03-30T00:30:00
CZ,Hlavní město Praha,752,2020-03-30T00:30:00
CZ,Pardubický kraj,75,2020-03-30T08:25:00
CZ,Liberecký kraj,78,2020-03-30T08:25:00
CZ,Jihočeský kraj,86,2020-03-30T08:25:00
CZ,Královéhradecký kraj,87,2020-03-30T08:25:00
CZ,Nezjištěno,88,2020-03-30T08:25:00
CZ,Karlovarský kraj,98,2020-03-30T08:25:00
CZ,Kraj Vysočina,102,2020-03-30T08:25:00
CZ,Ústecký kraj,112,2020-03-30T08:25:00
CZ,Plzeňský kraj,118,2020-03-30T08:25:00
CZ,Zlínský kraj,128,2020-03-30T08:25:00
CZ,Jihomoravský kraj,172,2020-03-30T08:25:00
CZ,Olomoucký kraj,262,2020-03-30T08:25:00
CZ,Moravskoslezský kraj,290,2020-03-30T08:25:00
CZ,Středočeský kraj,365,2020-03-30T08:25:00
CZ,Hlavní město Praha,776,2020-03-30T08:25:00
CZ,Pardubický kraj,75,2020-03-30T10:30:00
CZ,Liberecký kraj,78,2020-03-30T10:30:00
CZ,Jihočeský kraj,86,2020-03-30T10:30:00
CZ,Královéhradecký kraj,87,2020-03-30T10:30:00
CZ,Karlovarský kraj,98,2020-03-30T10:30:00
CZ,Kraj Vysočina,102,2020-03-30T10:30:00
CZ,Nezjištěno,109,2020-03-30T10:30:00
CZ,Ústecký kraj,112,2020-03-30T10:30:00
CZ,Plzeňský kraj,118,2020-03-30T10:30:00
CZ,Zlínský kraj,128,2020-03-30T10:30:00
CZ,Jihomoravský kraj,172,2020-03-30T10:30:00
CZ,Olomoucký kraj,262,2020-03-30T10:30:00
CZ,Moravskoslezský kraj,289,2020-03-30T10:30:00
CZ,Středočeský kraj,367,2020-03-30T10:30:00
CZ,Hlavní město Praha,776,2020-03-30T10:30:00
CZ,Pardubický kraj,77,2020-03-30T12:25:00
CZ,Nezjištěno,83,2020-03-30T12:25:00
CZ,Jihočeský kraj,86,2020-03-30T12:25:00
CZ,Královéhradecký kraj,87,2020-03-30T12:25:00
CZ,Liberecký kraj,88,2020-03-30T12:25:00
CZ,Karlovarský kraj,99,2020-03-30T12:25:00
CZ,Kraj Vysočina,102,2020-03-30T12:25:00
CZ,Plzeňský kraj,119,2020-03-30T12:25:00
CZ,Ústecký kraj,124,2020-03-30T12:25:00
CZ,Zlínský kraj,128,2020-03-30T12:25:00
CZ,Jihomoravský kraj,170,2020-03-30T12:25:00
CZ,Olomoucký kraj,263,2020-03-30T12:25:00
CZ,Moravskoslezský kraj,290,2020-03-30T12:25:00
CZ,Středočeský kraj,372,2020-03-30T12:25:00
CZ,Hlavní město Praha,778,2020-03-30T12:25:00
CZ,Pardubický kraj,77,2020-03-30T14:30:00
CZ,Nezjištěno,84,2020-03-30T14:30:00
CZ,Jihočeský kraj,86,2020-03-30T14:30:00
CZ,Královéhradecký kraj,87,2020-03-30T14:30:00
CZ,Liberecký kraj,89,2020-03-30T14:30:00
CZ,Karlovarský kraj,99,2020-03-30T14:30:00
CZ,Kraj Vysočina,102,2020-03-30T14:30:00
CZ,Plzeňský kraj,119,2020-03-30T14:30:00
CZ,Ústecký kraj,124,2020-03-30T14:30:00
CZ,Zlínský kraj,128,2020-03-30T14:30:00
CZ,Jihomoravský kraj,168,2020-03-30T14:30:00
CZ,Olomoucký kraj,266,2020-03-30T14:30:00
CZ,Moravskoslezský kraj,290,2020-03-30T14:30:00
CZ,Středočeský kraj,377,2020-03-30T14:30:00
CZ,Hlavní město Praha,782,2020-03-30T14:30:00
CZ,Pardubický kraj,75,2020-03-30T16:25:00
CZ,Nezjištěno,84,2020-03-30T16:25:00
CZ,Královéhradecký kraj,87,2020-03-30T16:25:00
CZ,Jihočeský kraj,88,2020-03-30T16:25:00
CZ,Liberecký kraj,89,2020-03-30T16:25:00
CZ,Karlovarský kraj,99,2020-03-30T16:25:00
CZ,Kraj Vysočina,102,2020-03-30T16:25:00
CZ,Plzeňský kraj,120,2020-03-30T16:25:00
CZ,Zlínský kraj,128,2020-03-30T16:25:00
CZ,Ústecký kraj,129,2020-03-30T16:25:00
CZ,Jihomoravský kraj,168,2020-03-30T16:25:00
CZ,Olomoucký kraj,271,2020-03-30T16:25:00
CZ,Moravskoslezský kraj,292,2020-03-30T16:25:00
CZ,Středočeský kraj,381,2020-03-30T16:25:00
CZ,Hlavní město Praha,783,2020-03-30T16:25:00
CZ,Pardubický kraj,78,2020-03-30T18:30:00
CZ,Královéhradecký kraj,87,2020-03-30T18:30:00
CZ,Jihočeský kraj,88,2020-03-30T18:30:00
CZ,Liberecký kraj,90,2020-03-30T18:30:00
CZ,Nezjištěno,91,2020-03-30T18:30:00
CZ,Karlovarský kraj,100,2020-03-30T18:30:00
CZ,Kraj Vysočina,103,2020-03-30T18:30:00
CZ,Plzeňský kraj,121,2020-03-30T18:30:00
CZ,Zlínský kraj,129,2020-03-30T18:30:00
CZ,Ústecký kraj,139,2020-03-30T18:30:00
CZ,Jihomoravský kraj,175,2020-03-30T18:30:00
CZ,Olomoucký kraj,273,2020-03-30T18:30:00
CZ,Moravskoslezský kraj,293,2020-03-30T18:30:00
CZ,Středočeský kraj,384,2020-03-30T18:30:00
CZ,Hlavní město Praha,791,2020-03-30T18:30:00
CZ,Pardubický kraj,80,2020-03-30T20:30:00
CZ,Jihočeský kraj,88,2020-03-30T20:30:00
CZ,Královéhradecký kraj,89,2020-03-30T20:30:00
CZ,Liberecký kraj,90,2020-03-30T20:30:00
CZ,Nezjištěno,98,2020-03-30T20:30:00
CZ,Karlovarský kraj,100,2020-03-30T20:30:00
CZ,Kraj Vysočina,103,2020-03-30T20:30:00
CZ,Plzeňský kraj,120,2020-03-30T20:30:00
CZ,Zlínský kraj,129,2020-03-30T20:30:00
CZ,Ústecký kraj,138,2020-03-30T20:30:00
CZ,Jihomoravský kraj,175,2020-03-30T20:30:00
CZ,Olomoucký kraj,273,2020-03-30T20:30:00
CZ,Moravskoslezský kraj,293,2020-03-30T20:30:00
CZ,Středočeský kraj,384,2020-03-30T20:30:00
CZ,Hlavní město Praha,796,2020-03-30T20:30:00
CZ,Pardubický kraj,80,2020-03-30T22:25:00
CZ,Jihočeský kraj,89,2020-03-30T22:25:00
CZ,Královéhradecký kraj,89,2020-03-30T22:25:00
CZ,Liberecký kraj,90,2020-03-30T22:25:00
CZ,Karlovarský kraj,100,2020-03-30T22:25:00
CZ,Kraj Vysočina,104,2020-03-30T22:25:00
CZ,Plzeňský kraj,109,2020-03-30T22:25:00
CZ,Nezjištěno,123,2020-03-30T22:25:00
CZ,Zlínský kraj,129,2020-03-30T22:25:00
CZ,Ústecký kraj,138,2020-03-30T22:25:00
CZ,Jihomoravský kraj,174,2020-03-30T22:25:00
CZ,Olomoucký kraj,273,2020-03-30T22:25:00
CZ,Moravskoslezský kraj,293,2020-03-30T22:25:00
CZ,Středočeský kraj,385,2020-03-30T22:25:00
CZ,Hlavní město Praha,800,2020-03-30T22:25:00
CZ,Nezjištěno,65,2020-03-31T00:30:00
CZ,Pardubický kraj,80,2020-03-31T00:30:00
CZ,Liberecký kraj,91,2020-03-31T00:30:00
CZ,Královéhradecký kraj,92,2020-03-31T00:30:00
CZ,Jihočeský kraj,94,2020-03-31T00:30:00
CZ,Karlovarský kraj,102,2020-03-31T00:30:00
CZ,Kraj Vysočina,108,2020-03-31T00:30:00
CZ,Zlínský kraj,129,2020-03-31T00:30:00
CZ,Plzeňský kraj,137,2020-03-31T00:30:00
CZ,Ústecký kraj,140,2020-03-31T00:30:00
CZ,Jihomoravský kraj,175,2020-03-31T00:30:00
CZ,Olomoucký kraj,280,2020-03-31T00:30:00
CZ,Moravskoslezský kraj,302,2020-03-31T00:30:00
CZ,Středočeský kraj,391,2020-03-31T00:30:00
CZ,Hlavní město Praha,815,2020-03-31T00:30:00
CZ,Nezjištěno,65,2020-03-31T08:30:00
CZ,Pardubický kraj,80,2020-03-31T08:30:00
CZ,Liberecký kraj,91,2020-03-31T08:30:00
CZ,Královéhradecký kraj,92,2020-03-31T08:30:00
CZ,Jihočeský kraj,93,2020-03-31T08:30:00
CZ,Karlovarský kraj,102,2020-03-31T08:30:00
CZ,Kraj Vysočina,108,2020-03-31T08:30:00
CZ,Zlínský kraj,129,2020-03-31T08:30:00
CZ,Plzeňský kraj,138,2020-03-31T08:30:00
CZ,Ústecký kraj,140,2020-03-31T08:30:00
CZ,Jihomoravský kraj,175,2020-03-31T08:30:00
CZ,Olomoucký kraj,280,2020-03-31T08:30:00
CZ,Moravskoslezský kraj,302,2020-03-31T08:30:00
CZ,Středočeský kraj,391,2020-03-31T08:30:00
CZ,Hlavní město Praha,816,2020-03-31T08:30:00
CZ,Nezjištěno,76,2020-03-31T19:10:00
CZ,Královéhradecký kraj,97,2020-03-31T19:10:00
CZ,Jihočeský kraj,103,2020-03-31T19:10:00
CZ,Liberecký kraj,105,2020-03-31T19:10:00
CZ,Pardubický kraj,107,2020-03-31T19:10:00
CZ,Karlovarský kraj,109,2020-03-31T19:10:00
CZ,Kraj Vysočina,113,2020-03-31T19:10:00
